number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_hidden,params_lr,params_n_steps,params_num_envs,params_vf_coef,user_attrs_mean_cost,user_attrs_mean_reward,system_attrs_NSGAIISampler:generation,state
0,,,2025-05-23 15:13:00.010044,2025-05-23 15:13:01.929926,0 days 00:00:01.919882,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
1,,,2025-05-23 15:14:40.345860,2025-05-23 15:14:42.223816,0 days 00:00:01.877956,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
2,,,2025-05-23 15:15:42.083280,2025-05-23 15:15:43.942851,0 days 00:00:01.859571,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
3,,,2025-05-23 15:28:57.438329,2025-05-23 15:28:59.318071,0 days 00:00:01.879742,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
4,,,2025-05-23 15:29:28.690298,2025-05-23 15:29:30.561422,0 days 00:00:01.871124,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
5,,,2025-05-23 15:29:43.327376,2025-05-23 15:29:45.203834,0 days 00:00:01.876458,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
6,,,2025-05-23 15:30:43.796989,2025-05-23 15:30:45.708484,0 days 00:00:01.911495,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,4.0,0.737265320016441,,,0,FAIL
7,,,2025-05-23 15:34:38.066154,2025-05-23 15:34:38.107364,0 days 00:00:00.041210,64,,,,0.957,,,1536,,,,,0,FAIL
8,,,2025-05-23 15:35:04.354688,2025-05-23 15:35:07.670369,0 days 00:00:03.315681,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,12.0,0.737265320016441,,,0,FAIL
9,,,2025-05-23 15:52:59.895782,2025-05-23 15:53:03.224013,0 days 00:00:03.328231,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,12.0,0.737265320016441,,,0,FAIL
10,,,2025-05-23 16:02:07.428079,2025-05-23 16:09:21.561813,0 days 00:07:14.133734,64,0.273235229154987,0.0006358358856676254,0.904646688973456,0.957,128.0,1.6998978382700755e-05,1536,12.0,0.737265320016441,,,0,FAIL
